formation,location,name,periode,startDate
"Bac+5, ESCA",  Casablanca,Stagiaire en Comptabilité Audit et Finance ,6 mois,01/01/2023
"Bac+5, ENCG Casablanca",  Casablanca,Stagiaire en Comptabilité Audit et Finance ,4 mois,01/02/2023
"Bac+2, ESCA",  Casablanca,Stagiaire en Gestion des Entreprises et des Administrations ,2 mois,02/01/2023
"Bac+3, Autre",  Ouarzazate,Stagiaire en Développement informatique ,2 mois,10/01/2023
"Bac+3, ISIAM Agadir",  Agadir,Stagiaire en Gestion Commerciale ,3 mois,30/01/2023
"Bac+4, ENSAM Casablanc…",  Casablanca,Stagiaire en Génie Mécanique &amp; Productique ,5 mois,01/02/2023
"Bac+5, Autre",  Tanger,Stagiaire en Gestion des Ressources Humaines ,4 mois,01/03/2023
"Bac+5, Ecole VINCI",  Salé,Stagiaire en Ingénierie des Systèmes d'Information et de Communication ,6 mois,10/02/2023
"Bac+3, ENSA Agadir",  Agadir,Stagiaire en Ingénierie en Finance et Actuariat ,4 mois,01/02/2023
"Bac+5, Ecole Centrale …",  Casablanca,Stagiaire en Management &amp; Stratégie ,6 mois,01/03/2023
"Bac+5, ENCG Fès",  Fès,Stagiaire en Supply Chain ,5 mois,10/01/2023
"Bac+5, UIC",  Casablanca,Stagiaire en Gestion Logistique &amp; Transport ,6 mois,01/02/2023
"Bac+5, ENCG Casablanca",  Mohammédia,Stagiaire en Comptabilité Audit et Finance ,6 mois,16/01/2023
"Bac+2, OFPPT",  Kénitra,Stagiaire en Génie Mécanique &amp; Productique ,1 mois,02/01/2023
"Bac+5, IGA",  Casablanca,Stagiaire en Comptabilité Audit et Finance ,5 mois,01/01/2023
"Bac+5, ENSA Oujda",  Oujda,Stagiaire en Génie Industriel ,5 mois,01/02/2023
"Bac+5, FSJES Marrakech",  Marrakech,Stagiaire en Management &amp; Stratégie ,3 mois,05/02/2023
"Bac+5, ENCG Casablanca",  Casablanca,Stagiaire en Ingénierie en Finance et Actuariat ,6 mois,01/02/2023
"Bac+5, Autre",  Agadir,Stagiaire en Business Intelligence ,6 mois,01/01/2023
"Bac+4, FS Kénitra",  Tanger,Stagiaire en Transit &amp; Déclaration Douane ,4 mois,15/01/2023
"Bac+2, Autre",  Agadir,Stagiaire en Vente &amp; Commercialisation ,3 mois,01/01/2023
"Bac+3, Est Fès",  Taounate,Stagiaire en Transport &amp; logistique ,6 mois,01/01/2023
"Bac+5, ISIAM Agadir",  Agadir,Stagiaire en Supply Chain ,3 mois,01/03/2023
"Bac+5, UIC",  Casablanca,Stagiaire en Génie Mécanique &amp; Productique ,6 mois,01/01/2023
"Bac+5, FST Mohammedia",  Mohammédia,Stagiaire en Industrie et Sécurité des Aliments ,6 mois,16/01/2023
"Bac+4, FST Settat",  Casablanca,Stagiaire en Informatique &amp; Systèmes d'Information ,3 mois,15/01/2023
"Bac+5, ISMAG",  Rabat,Stagiaire en Développement informatique ,5 mois,15/02/2023
"Bac+5, UIR",  Rabat,Stagiaire en Marketing Digital ,6 mois,01/01/2023
"Bac+5, ENCG Kénitra",  Kénitra,Stagiaire en Commerce International ,6 mois,01/01/2023
"Bac+2, ISAG ",  Casablanca,Stagiaire en Développement WEB ,1 mois,01/02/2023
"Bac+5, ENCG Fès",  Fès,Stagiaire en Comptabilité Audit et Finance ,5 mois,01/02/2023
"Bac+4, ENCG El Jadida",  Casablanca,Stagiaire en Marketing ,1 mois,02/01/2023
"Bac+5, ENSA Khouribga",  Casablanca,Stagiaire en Génie Électrique ,5 mois,01/02/2023
"Bac+5, FSJES Méknes",  Meknès,Stagiaire en Commerce &amp; Management ,3 mois,01/01/2023
"Bac+5, ENCG Agadir",  Marrakech,Stagiaire en Marketing &amp; Communication ,3 mois,01/03/2023
