name,company,location,secteur,fonction,experience,niveau
 Stagiaire Ressources Humaines ,Hit Radio, Rabat (Maroc) ,Audiovisuel,RH / Personnel / Formation, Débutant , Bac +5 et plus 
 Stagiaire Technique ,Hit Radio, Rabat (Maroc) ,Audiovisuel,Informatique / Electronique, Débutant , Bac +2 
 Stage fin d'études - Chargé de Sourcing et de Recrutement (H/F) ,Capgemini, Casablanca (Maroc) ,Informatique,RH / Personnel / Formation, Débutant , Bac +5 et plus 
 Stagiaires (PFE) Ingénieurs Etudes & développement ,Perenity Software, Casablanca (Maroc) ,Informatique,Informatique / Electronique, Débutant , Bac +5 et plus 
 Stagiaire - Paie ,Capgemini Engineering, casablanca (Maroc) ,Banque / Finance,Gestion / Comptabilité / Finance, Débutant , Bac +5 et plus 
 Stagiaire Technicien Support Informatique ,Sofrecom Services Maroc, Technopolis (Maroc) ,Informatique,Informatique / Electronique, Débutant , Bac +2 
 Stagiaire en Recrutement ,Sofrecom Services Maroc, Casanearshore (Maroc) ,Informatique,RH / Personnel / Formation, Débutant , Bac +5 et plus 
 Stagiaire en Recrutement ,Sofrecom Services Maroc, Technopolis (Maroc) ,Informatique,RH / Personnel / Formation, Débutant , Bac +5 et plus 
 Stagiaire en Recrutement ,Sofrecom Services Maroc, Technopolis (Maroc) ,Informatique,RH / Personnel / Formation, Débutant , Bac +5 et plus 
 Stage pré-embauche en Comptabilité et Audit ,, Casablanca (Maroc) ,Comptabilité / Audit,Audit / Conseil, Débutant , Bac +5 et plus 
 Stagiaires Marketing PFE ,Révey, Casablanca (Maroc) ,Agroalimentaire,Marketing, Débutant , Bac +5 et plus 
 Juriste H/F (stage) - Casablanca ,Eca Assurances, Casablanca (Maroc) ,Juridique / Cabinet d’avocats,Audit / Conseil, Débutant , Bac +5 et plus 
 Stage PFE BAC+5 : Qualité/RSE (H/F) ,CGI Technologies et Solutions Maroc, Casablanca (Maroc) ,Offshoring / Nearshoring,Gestion / Comptabilité / Finance, Débutant , Bac +4 
" Stage PFE : Développeur JEE, Dot Net, Oracle, Cobol MVS (H/F) ",CGI Technologies et Solutions Maroc, Fès (Maroc) ,Informatique,Informatique / Electronique, Débutant , Bac +4 
 Stage PFE Bac+3: Consultant SAP User management (H/F) ,CGI Technologies et Solutions Maroc, Casablanca (Maroc) ,Informatique,Informatique / Electronique, Débutant , Bac +3 
 Stagiaire en marketing (H/F) ,, Rabat (Maroc) ,Autres services,Marketing, Débutant , Bac +5 et plus 
 Stagiaire Archiviste ,AXA Group Operations Maroc, rabat (Maroc) ,Comptabilité / Audit,Gestion / Comptabilité / Finance, Débutant , Bac +2 
 Chargé(e) de recrutement senior ,Sitel Group, Rabat (Maroc) ,Offshoring / Nearshoring,RH / Personnel / Formation, De 1 à 3 ans , Bac +2 
 Stage Pré embauche en Testing ,ARIA Tech, Casablanca (Maroc) ,Informatique,Informatique / Electronique, Débutant , Bac +5 et plus 
 Stage Etude & Developpement ,AXA Group Operations Maroc, Rabat (Maroc) ,Informatique,Informatique / Electronique, Moins de 1 an , Bac +4 
 Stage Technicien Support Avancé ,AXA Group Operations Maroc, Rabat (Maroc) ,Informatique,Informatique / Electronique, Moins de 1 an , Bac +2 
 Stagiaire Analyst Datamining (H/F) ,, Rabat (Maroc) ,Autres services,Informatique / Electronique, Débutant , Bac +5 et plus 
 Stage PFE Data Scientist (H/F) ,Société Générale Maroc, Casablanca (Maroc) ,Banque / Finance,Informatique / Electronique, Débutant , Bac +5 et plus 
 Production Internship ,Yazaki Morocco, Meknès (Maroc) ,Automobile / Motos / Cycles,Electricité, Débutant , Bac +5 et plus 
 Technicien en informatique ,Euro job, Casablanca (Maroc) ,Informatique,Informatique / Electronique, Moins de 1 an , Bac +2 
 Stagiaire Comptabilité ,Hit Radio, Rabat (Maroc) ,Audiovisuel,Gestion / Comptabilité / Finance, Débutant , Bac +2 
 Stagiaire RH – sourcing & recrutement (H/F) ,Deloitte Extended Services, casablanca (Maroc) ,Comptabilité / Audit,RH / Personnel / Formation, Débutant , Bac +5 et plus 
 Stagiaires en Recrutement ,Atlas On Line, Casablanca (Maroc) ,Recrutement / Intérim,RH / Personnel / Formation, Débutant , Bac +4 
 Campagne de stage ,Vivo Energy Maroc, Casablanca (Maroc) ,Autres services,Commercial / Vente / Export, Débutant , Bac +5 et plus 
" Stages Pré-embauche RH, Marketing & Commercial ",ORH Assessment, Casablanca (Maroc) ,Enseignement / Formation,Commercial / Vente / Export, Débutant , Bac +2 
 Stagiaire AMOA/ERP (H/F) ,Deloitte Extended Services, casablanca (Maroc) ,Banque / Finance,Gestion projet / Etudes / R&D, Débutant , Bac +4 
