company,domaine,location,name,nbr_stagiaire,periode,startDate
TCH (The Consulting House) ,, Casablanca,Stage en Audit et Finance ,,6 mois,16/01/2023
Agro daraa SARL ,, Agadir Melloul,"Stage en IOT, RasBerry PI Arduino, Python, , Automates Programmables, Réseaux informatiques, program ",,4 mois,24/12/2022
Agro daraa SARL ,, Agadir Melloul,"Stage en Machine learning, Deep learning, Regression/ Classification sur LSTM, RNN , ",,4 mois,24/12/2022
Agro daraa SARL ,, Agadir,"Stage en Design, Installation, Digitalization, amelioration de systems hybrid renouvelables ",,4 mois,24/12/2022
Agro daraa SARL ,, Agadir Melloul,"Stage en Suivi cultures sous serre, plein champ, Smart Farming, suivi animaux ",,4 mois,24/12/2022
LAMINFO ,, Casablanca,Stage en Journalisme &amp; Rédaction ,,6 mois,19/12/2022
KHABIRY.COM ,, Casablanca,Stage en Marketing Digital ,,3 mois,01/01/2023
SEWS CABIND MAROC ,, Casablanca,Stage en Développement RH ,,3 mois,16/01/2023
EMFA TRADING (EDUNOVA) ,Comptabilité Audit et Finance, Casablanca,Stage en Marketing Digital ,3 stagiaires,1 mois,02/01/2023
Cabinet Poly Expertise ,Comptabilité Audit et Finance, Agadir,Stage en Economie et gestion ,3 stagiaires,3 mois,02/01/2023
akare ,Comptabilité Audit et Finance, Casablanca,Stage en marketing &amp; communication ,3 stagiaires,3 mois,02/01/2023
o sud conciergerie ,Comptabilité Audit et Finance, Marseille,Stage en Informatique &amp; Systèmes d'Information ,3 stagiaires,6 mois,01/02/2023
ARBOR ,Comptabilité Audit et Finance, Casablanca,Stage en Communication Digitale ,3 stagiaires,6 mois,02/01/2023
LAMINFO ,Comptabilité Audit et Finance, Casablanca,Stage en QHSE ,3 stagiaires,6 mois,01/01/2023
Tennaxia ,Comptabilité Audit et Finance, Casablanca,Stage en Techniques de Commercialisation ,3 stagiaires,3 mois,01/01/2023
110.55. ,Comptabilité Audit et Finance, Casablanca,Stage en Commerce &amp; Relation client ,3 stagiaires,6 mois,02/01/2023
ISTAV ,Marketing Digital, Rabat,Stage en Média &amp; Audiovisuel ,Un stagiaire,3 mois,02/01/2023
LAMINFO ,Marketing Digital, Casablanca,Stage en Développement informatique ,Un stagiaire,6 mois,01/01/2023
VOID ,Marketing Digital, Casablanca,Stage en Social Media ,Un stagiaire,6 mois,02/01/2023
VOID ,Marketing Digital, Casablanca,"Stage en développement Fullstack : PHP, React, Next.js et Docker ",Un stagiaire,6 mois,02/01/2023
CLOUD ECO ,Marketing Digital, Casablanca,Stage en Développement WEB ,Un stagiaire,6 mois,01/02/2023
Admiral Digital Consulting ,Marketing Digital, Casablanca,Stage en Marketing Digital ,Un stagiaire,6 mois,26/12/2022
TECHNOLOGY &amp; TELECOM ,Marketing Digital, Safi,Stage en Développement Web+Mobile FLUTTER ,Un stagiaire,6 mois,01/03/2023
FOOTANGELS ,Marketing Digital, Casablanca,Stage en Gestion Commerciale ,Un stagiaire,,01/01/2023
110.55. ,Média &amp; Audiovisuel, Casablanca,Stage en Génie Informatique ,Un stagiaire,6 mois,16/01/2023
CloudLink ,Média &amp; Audiovisuel, Casablanca,Stage en Développement informatique ,Un stagiaire,6 mois,01/02/2023
WEBEX AG ,Média &amp; Audiovisuel, Casablanca,Stage en Génie Informatique ,Un stagiaire,6 mois,02/01/2023
WEBEX AG ,Média &amp; Audiovisuel, Casablanca,Stage en Marketing &amp; Communication ,Un stagiaire,6 mois,02/01/2023
OLEEB ,Média &amp; Audiovisuel, Marrakech,Stage en Supply Chain ,Un stagiaire,6 mois,15/12/2022
IRRIEST ,Média &amp; Audiovisuel, Berkane,Stage en Marketing &amp; Communication ,Un stagiaire,6 mois,01/01/2023
Profiles ,Média &amp; Audiovisuel, Agadir,Stage en Web Design ,Un stagiaire,3 mois,19/12/2022
Profiles ,Média &amp; Audiovisuel, Agadir,Stage en assistance de direction &amp; Marketing Coordinator ,Un stagiaire,3 mois,19/12/2022
TECMACO SERVICES ,Génie Informatique, Casablanca,"Stage en Industrie, Eléctrique, Mécanique &amp; Éléctromécanique ",Un stagiaire,4 mois,19/12/2022
ELECTRIKA MOTORS ,Génie Informatique, Casablanca,Stage en Marketing Digital ,Un stagiaire,6 mois,02/01/2023
Howdy Code ,Génie Informatique, Fes,Stage en Marketing Digital - Digital Marketing Internship ,Un stagiaire,3 mois,12/12/2022
MOUCHAART ,Génie Informatique, Marrakech,Stage en Développement WEB ,Un stagiaire,3 mois,01/01/2023
110.55. ,Génie Informatique, Casablanca,Stage en Audit des processus ,Un stagiaire,6 mois,02/01/2023
Fallen Agency ,Génie Informatique, Casablanca,Stage en Graphic Design ,Un stagiaire,3 mois,12/12/2022
gini international ,Génie Informatique, Rabat,Stage en React Native Developer - internship offer ,Un stagiaire,3 mois,14/12/2022
gini international ,Génie Informatique, Rabat,Stage en Node.js Developer internship offer ,Un stagiaire,3 mois,14/12/2022
